Clement Depres	Nimes Olympique	11/25/1994	Forward	1500000	1500000
Ismael Aaneba	R. Strasbourg	5/29/1999	Defender	1000000	1000000
Ibrahima Sissoko	R. Strasbourg	10/27/1997	Midfielder	6500000	6500000
Matthieu Udol	FC Metz	3/20/1996	Defender	400000	400000
Dimitri Lienard	R. Strasbourg	2/13/1988	Midfielder	2000000	2000000
Bingourou Kamara	R. Strasbourg	10/21/1996	Goalkeeper	2500000	2500000
Benjamin Corgnet	R. Strasbourg	4/6/1987	Midfielder	800000	6500000
Anthony Caci	R. Strasbourg	7/1/1997	Defender	3000000	3000000
Alexander Djiku	R. Strasbourg	8/9/1994	Defender	8000000	8000000
Adrien Thomasson	R. Strasbourg	12/10/1993	Midfielder	8000000	8000000
Quentin Beunardeau	Desportivo Aves	2/27/1994	Goalkeeper	1000000	1000000
Stefan Bajic	Saint-Etienne	12/23/2001	Goalkeeper	150000	150000
Mouctar Diakhaby	Valencia	12/19/1996	Defender	30000000	30000000
Lucas Hernandez	Bayern Munich	2/14/1996	Defender	70000000	70000000
Paul Delecroix	FC Metz	10/14/1988	Goalkeeper	600000	1000000
Redouane Kerrouche	Desportivo Aves	4/26/1994	Midfielder	350000	500000
Mamadou Doucoure	Bor. M'gladbach	5/21/1998	Defender	500000	500000
Renaud Cohade	FC Metz	9/29/1984	Midfielder	1000000	4000000
Sebastien Haller	West Ham	6/22/1994	Forward	45000000	45000000
Olivier Boscagli	PSV Eindhoven	11/18/1997	Defender	3000000	3000000
Antoine Griezmann	FC Barcelona	3/21/1991	Forward	130000000	150000000
Thierry Ambrose	FC Metz	3/28/1997	Forward	2000000	2000000
Florian Miguel	Nimes Olympique	9/1/1996	Defender	2000000	2000000
Thomas Delaine	FC Metz	3/24/1992	Defender	1500000	1500000
Gaetan Paquiez	Nimes Olympique	2/15/1994	Defender	1000000	1000000
Moussa Niakhate	1.FSV Mainz 05	3/8/1996	Defender	14000000	14000000
Dylan Batubinsika	Royal Antwerp	2/15/1996	Defender	1000000	1200000
Florian Chabrolle	Marseille	4/7/1998	Midfielder	150000	150000
Thody Elie Youan	FC Nantes	4/7/1999	Forward	250000	null
Benoît Costil	G. Bordeaux	7/3/1987	Goalkeeper	5500000	8000000
Remy Descamps	RSC Charleroi	6/25/1996	Goalkeeper	1200000	1200000
Kingsley Coman	Bayern Munich	6/13/1996	Forward	60000000	60000000
Clement Lenglet	FC Barcelona	6/17/1995	Defender	60000000	60000000
Kelyan Guessoum	Nimes Olympique	2/5/1999	Defender	150000	null
Bryan Soumare	Dijon	2/11/1999	Position: Attacking Midfield	400000	400000
Florian Thauvin	Marseille	1/26/1993	Forward	45000000	50000000
Gregory Sertic	Marseille	8/5/1989	Midfielder	1000000	5000000
Aurelien Tchouameni	G. Bordeaux	1/27/2000	Midfielder	7000000	7000000
Enzo Loiodice	Dijon	11/27/2000	Midfielder	5500000	5500000
Corentin Tolisso	Bayern Munich	8/3/1994	Midfielder	40000000	45000000
Anthony Martial	Man Utd	12/5/1995	Forward	60000000	65000000
Nicolas Pallois	FC Nantes	9/19/1987	Defender	2500000	3500000
Benjamin Pavard	Bayern Munich	3/28/1996	Defender	35000000	40000000
Lamine Fomba	Nimes Olympique	1/26/1998	Midfielder	4000000	4000000
Loick Landre	Nimes Olympique	5/5/1992	Defender	3500000	3500000
Anthony Mandrea	SCO Angers	12/25/1996	Goalkeeper	200000	200000
Lucas Buades	Nimes Olympique	12/28/1997	Position: Right	150000	null
Lucas Deaux	Nimes Olympique	12/26/1988	Midfielder	2000000	3000000
Abdoul Kader Bamba	FC Nantes	5/25/1994	Forward	800000	null
Neal Maupay	Brighton	8/14/1996	Forward	18000000	18000000
Moussa Diaby	Bay. Leverkusen	7/7/1999	Forward	15000000	15000000
Jean-Clair Todibo	FC Barcelona	12/30/1999	Defender	8000000	8000000
Lucas Dias	Nimes Olympique	5/22/1999	Position: Goalkeeper	150000	null
Florent Balmont	Dijon	2/2/1980	Midfielder	250000	6500000
Pablo Martinez	Nimes Olympique	2/21/1989	Defender	3500000	3500000
Paul Bernardoni	Nimes Olympique	4/18/1997	Goalkeeper	9000000	9000000
Alassane Plea	Bor. M'gladbach	3/10/1993	Forward	30000000	38000000
Issa Diop	West Ham	1/9/1997	Defender	35000000	35000000
Etienne Capoue	Watford	7/11/1988	Midfielder	8000000	13000000
Kevin Gameiro	Valencia	5/9/1987	Forward	9000000	25000000
Rayan Ait Nouri	SCO Angers	6/6/2001	Defender	6000000	6000000
Renaud Ripart	Nimes Olympique	3/14/1993	Forward	4000000	4000000
Isaac Lihadji	Marseille	4/10/2002	Forward	500000	null
Mathieu Debuchy	Saint-Etienne	7/28/1985	Defender	3000000	15000000
Nicolas Penneteau	RSC Charleroi	2/28/1981	Goalkeeper	400000	2800000
Romain Philippoteaux	Nimes Olympique	3/2/1988	Midfielder	1000000	2000000
Denis Will Poha	Vit. Guimaraes	5/28/1997	Midfielder	1250000	1250000
Marc Olivier Doue	PEC Zwolle	10/11/2000	Defender	50000	null
Jordan Amavi	Marseille	3/9/1994	Defender	8000000	16000000
Romain Thomas	SCO Angers	6/12/1988	Defender	3000000	3500000
Mahdi Camara	Saint-Etienne	6/30/1998	Midfielder	300000	300000
Yacine Adli	G. Bordeaux	7/29/2000	Midfielder	5500000	5500000
Lois Diony	Saint-Etienne	12/20/1992	Forward	5000000	6000000
Lucas Perrin	Marseille	11/19/1998	Defender	300000	300000
Marley Ake	Marseille	1/5/2001	Forward	150000	null
Theo Vermot	Saint-Etienne	1/27/1997	Goalkeeper	150000	150000
Yann Karamoh	Parma	7/8/1998	Forward	10000000	10000000
Vincent Laurini	Parma	6/10/1989	Defender	1500000	2000000
Theo Pellenard	SCO Angers	3/4/1994	Defender	2000000	2000000
Sofiane Alakouch	Nimes Olympique	7/29/1998	Defender	5000000	5000000
Thomas Mangani	SCO Angers	4/29/1987	Midfielder	2000000	3500000
Frederic Sammaritano	Dijon	3/23/1986	Midfielder	500000	1500000
Theo Sainte-Luce	Nimes Olympique	10/20/1998	Defender	150000	null
Vincent Manceau	SCO Angers	7/24/1989	Defender	2500000	2500000
Vincent Pajot	SCO Angers	8/19/1990	Midfielder	2500000	3000000
Wilfried Kanga	SCO Angers	2/21/1998	Forward	1500000	1500000
Yan Valery	Southampton	2/22/1999	Defender	7000000	7000000
Loic Perrin	Saint-Etienne	8/7/1985	Defender	2000000	8000000
Remy Cabella	Krasnodar	3/8/1990	Midfielder	14000000	14000000
Zinedine Ould Khaled	SCO Angers	1/14/2000	null	null	null
Jordan Veretout	AS Roma	3/1/1993	Midfielder	20000000	25000000
Zaydou Youssouf	Saint-Etienne	7/11/1999	Midfielder	4000000	4000000
Jordan Marie	Dijon	9/29/1991	Midfielder	1500000	1500000
Yohan Cabaye	Saint-Etienne	1/14/1986	Midfielder	2000000	23000000
Theo Valls	Nimes Olympique	12/18/1995	Midfielder	2500000	2500000
Cyril Thereau	Fiorentina	4/24/1983	Forward	500000	3000000
Levi Ntumba	Dijon	1/12/2001	Goalkeeper	300000	300000
Maxime Lopez	Marseille	12/4/1997	Midfielder	15000000	15000000
Yann M'Vila	Saint-Etienne	6/29/1990	Midfielder	10000000	21000000
William Saliba	Saint-Etienne	3/24/2001	Defender	25000000	25000000
Wesley Fofana	Saint-Etienne	12/17/2000	Defender	null	null
Abdoulaye Toure	SC Amiens	10/14/2000	null	null	null
Morgan Sanson	Marseille	8/18/1994	Midfielder	28000000	28000000
Albert Lottin	G. Bordeaux	8/29/2001	Midfielder	500000	null
Presnel Kimpembe	Paris SG	8/13/1995	Defender	30000000	30000000
Angelo Fulgini	SCO Angers	8/20/1996	Midfielder	5000000	5000000
Thomas Didillon	RSC Anderlecht	11/28/1995	Goalkeeper	4000000	5000000
Alexis Blin	SC Amiens	9/16/1996	Midfielder	5000000	8000000
Timothee Kolodziejczak	Saint-Etienne	10/1/1991	Defender	6000000	7000000
Soualiho Meite	Torino	3/17/1994	Midfielder	13000000	13000000
Kevin Monnet-Paquet	Saint-Etienne	8/19/1988	Forward	2000000	3000000
Adrien Rabiot	Juventus	4/3/1995	Midfielder	35000000	50000000
Loic Mbe Soh	Paris SG	6/13/2001	Defender	3000000	null
Samir Nasri	RSC Anderlecht	6/26/1987	Midfielder	5000000	26000000
Layvin Kurzawa	Paris SG	9/4/1992	Defender	17500000	23000000
Kylian Mbappe	Paris SG	12/20/1998	Forward	200000000	200000000
Ousmane Dembele	FC Barcelona	5/15/1997	Forward	100000000	120000000
Marcus Coco	FC Nantes	6/24/1996	Forward	3000000	3000000
Mounir Chouiar	Dijon	1/23/1999	Forward	4000000	4000000
Ibrahim Amadou	Norwich	4/6/1993	Midfielder	7000000	15000000
Garissone Innocent	Paris SG	4/16/2000	Goalkeeper	150000	null
Adil Taoui	Toulouse	8/10/2001	Forward	150000	150000
Yoric Ravet	SC Freiburg	9/12/1989	Forward	1250000	3750000
Colin Dagba	Paris SG	9/6/1998	Defender	18000000	18000000
Amine Adli	Toulouse	5/10/2000	Midfielder	150000	null
Romain Amalfitano	Dijon	8/27/1989	Midfielder	2000000	2000000
Adil Aouchiche	Paris SG	7/15/2002	Midfielder	3000000	null
Abdou Diallo	Paris SG	5/4/1996	Defender	35000000	35000000
Anthony Rouault	Toulouse	5/29/2001	Position: Centre	150000	null
Bafode Diakite	Toulouse	1/6/2001	Defender	6000000	6000000
Djibril Sidibe	Everton	7/29/1992	Defender	12000000	23000000
Baptiste Reynet	Toulouse	10/28/1990	Goalkeeper	5000000	5000000
Corentin Jean	Toulouse	7/15/1995	Forward	2500000	4000000
Senou Coulibaly	Dijon	9/4/1994	Defender	1000000	1000000
Djibril Dianessy	Fortuna Sittard	3/29/1996	Forward	300000	500000
Florentin Bloch	Toulouse	2/2/2000	Position: Goalkeeper	150000	null
Blaise Matuidi	Juventus	4/9/1987	Midfielder	22000000	30000000
Laurent Koscielny	G. Bordeaux	9/10/1985	Defender	5000000	22000000
Ahmadou Dia	Marseille	10/13/1999	Goalkeeper	150000	null
Mohamed Diaby	Pacos Ferreira	9/3/1996	Midfielder	500000	500000
Theo Barbet	Dijon	3/6/2001	Defender	150000	null
Wesley Lautoa	Dijon	8/25/1987	Defender	2000000	3000000
Jean-Victor Makengo	Toulouse	6/12/1998	Midfielder	6000000	6000000
Kalidou Sidibe	Toulouse	1/28/1999	Midfielder	3500000	3500000
Kelvin Amian	Toulouse	2/8/1998	Defender	7000000	7000000
Jessy Moulin	Saint-Etienne	1/13/1986	Goalkeeper	250000	400000
Kouadio Kone	Toulouse	5/17/2001	Midfielder	150000	null
Mathieu Gonçalves	Toulouse	6/8/2001	Defender	500000	500000
Moussa Diarra	Toulouse	11/10/2000	Position: Centre	150000	null
Nathan N'Goumou	Toulouse	3/14/2000	Forward	300000	null
Nicolas Isimat-Mirin	Toulouse	11/15/1991	Defender	1250000	4500000
Almamy Toure	E. Frankfurt	4/28/1996	Defender	6500000	8000000
Benjamin Stambouli	FC Schalke 04	8/13/1990	Defender	10000000	11000000
Antonin Bobichon	SCO Angers	9/14/1995	Midfielder	5000000	5000000
Quentin Boisgard	Toulouse	3/17/1997	Midfielder	1500000	1500000
Harold Moukoudi	Saint-Etienne	11/27/1997	Defender	3000000	3000000
Maxime Poundje	G. Bordeaux	8/16/1992	Defender	5000000	5000000
Evan N'Dicka	E. Frankfurt	8/20/1999	Defender	22000000	25000000
Nicolas de Preville	G. Bordeaux	1/8/1991	Forward	4000000	7000000
